created,url,wbanno,lst_date,date,lon,lat,temp,max_temp,min_temp,precip,rad,max_rad,min_rad,rh,hours_included
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100209,2/9/10,-81.78,40.37,-4.2,0.3,-8.2,9.6,28,135,0,88,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100210,2/10/10,-81.78,40.37,-7.6,-3.6,-12.3,1.9,80,404,0,81,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100211,2/11/10,-81.78,40.37,-4.4,-3.7,-4.9,0,39,144,0,81,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100212,2/12/10,-81.78,40.37,-5.5,-4.4,-7.5,0,59,298,0,84,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100213,2/13/10,-81.78,40.37,-5.5,-4.1,-7,0,84,370,0,81,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100214,2/14/10,-81.78,40.37,-5.2,-3.1,-6.9,0,78,323,0,76,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100215,2/15/10,-81.78,40.37,-7.5,-3.8,-11.7,7.6,53,309,0,91,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100216,2/16/10,-81.78,40.37,-4.9,-3,-7.1,2.2,50,271,0,89,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100217,2/17/10,-81.78,40.37,-3.5,-1.2,-5.1,0.8,51,202,0,86,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100218,2/18/10,-81.78,40.37,-1,0.4,-2.3,0,35,160,0,90,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100219,2/19/10,-81.78,40.37,-2.7,1.3,-7.1,0,187,704,0,77,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100220,2/20/10,-81.78,40.37,-2,3.2,-7.5,0,153,630,0,64,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100221,2/21/10,-81.78,40.37,1.3,3.8,-1.2,0,58,312,0,61,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100222,2/22/10,-81.78,40.37,3,4.4,0.8,4.6,20,93,0,86,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100223,2/23/10,-81.78,40.37,-0.2,0.4,-0.7,0,35,156,0,86,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100224,2/24/10,-81.78,40.37,-1.7,-0.6,-3,4.1,65,266,0,88,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100225,2/25/10,-81.78,40.37,-4.4,-3.2,-6,1.8,99,491,0,82,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100226,2/26/10,-81.78,40.37,-3.4,-1.6,-4.9,4.7,72,309,0,83,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100227,2/27/10,-81.78,40.37,-1.8,0.3,-3.6,3.8,102,541,0,90,24
